название,вместимость (чел),ссылка,причал,фото
Амстердам,11,https://vipflot.com/yahty/yahta-amsterdam,мойки 56,https://drive.google.com/drive/folders/1R0vHhR_3XVYLyvmnDJt6foAG8V1aMCgj?usp=share_link
Белуга,10,https://vipflot.com/yahty/yahta-beluga,"наб. реки Мойки, 17",https://disk.yandex.ru/d/oiuCEQuA0Tw2Mg
Ливадия,10,https://vipflot.com/katera/kater-livadia,"Большая Морская ул., 63",https://disk.yandex.ru/d/C4I28Igy7PZVmw
Монако,11,https://vipflot.com/yahty/yahta-monaco,мойки 56,https://drive.google.com/drive/folders/1PW4mHPuBcrpP_mmtOPcVWjvJijpf-_uu?usp=share_link
Monte Carlo SeaLine 43 ,10,https://vipflot.com/yahty/yahta-monte-carlo,"наб. Мартынова, 92",https://drive.google.com/drive/folders/1b6Y0YvIWvid-GjqK2um7SUmyNe4vbbEE
Ялта,11,https://vipflot.com/yahty/yahta-yalta,"Большая Морская ул., 63",https://disk.yandex.ru/d/94JmMoa1Pt6nHw
ATLANTIS III,12,https://vipflot.com/yahty/yahta-atlantis-3,Южная дорога 4,https://drive.google.com/drive/folders/16P8-4gk97xwv6Afdp1J_zz2pZ74SLhIT?usp=drive_link
Azimut 46,10,https://vipflot.com/yahty/yahta-azimut-46,Наличная 59,https://disk.yandex.ru/d/I-2ysKZ4BnVUFA
Azimut 55 Black pearl,12,https://vipflot.com/yahty/yahta-azimut-55,"Яхт-клуб ""Императорский"", наб. Мартынова, 92",https://drive.google.com/drive/folders/1KO-tz2rglh820-0ozYZqBQgzZQdJsIu3
Azimut 62S,12,https://vipflot.com/yahty/yahta-azimut-62-s,Южная дорога 4,https://drive.google.com/drive/folders/19daQCdGx1hfHoTqXrCdIxwZxtSbwMaXY
Benetti 90 Kalisa,15,https://vipflot.com/yahty/yahta-kalisa,Рыбацкий пр. 10 Яхт клуб Восточный ,https://disk.yandex.ru/d/DKIDpxW_2DtdYw
Broward 98,50,https://vipflot.com/yahty/yahta-broward,"Наличная ул., 59",https://disk.yandex.ru/d/2Sfq2LcgYe573Q
California 62,10,https://vipflot.com/yahty/yahta-california-62,"Серный остров, яхт-клуб Бриз",https://disk.yandex.ru/d/UhJ0Hiuhox-VCg
Carver 62 MILA,15,https://vipflot.com/yahty/yahta-carver-60,"Яхт-клуб ""Императорский"", наб. Мартынова, 92",https://drive.google.com/drive/folders/11LOCuBCv_0SxgaDRG6bh8SKbLcZVG6qz
Chudolodka,10,https://vipflot.com/katera/kater-chudolodka,Южная дорога 4,https://drive.google.com/drive/folders/19zCyL9mz5vcsV48oS-aQwEf_sLqM5Cbc?usp=drive_link
Dominator 68,14,https://vipflot.com/yahty/yahta-dominator-68,"наб. Мартынова, 92",https://drive.google.com/drive/folders/1Ztwd9A-Vv7deyxt1jcCeg1OWzl_949Ju
Elegance 65,16,https://vipflot.com/yahty/yahta-elegance-65,Южная дорога 4/1,https://disk.yandex.ru/a/SKPyho44MZKujw
Fairline 62(не в работе в 2025),11,https://vipflot.com/yahty/yahta-fairline-62,"Южная дорога, 4 напротив ресторана Sun Day",https://drive.google.com/drive/folders/1RaIzOaRXYY2R55I8zz3Vk6fv2v5njBb5
Fairline 65,15,https://vipflot.com/yahty/yahta-fairline-65,Южная дорога 4,https://drive.google.com/drive/folders/1l8hv-vAI7e7JiEFMTtS2KyfJ002qqdhz
Fairline 68 Аврора,16,https://vipflot.com/yahty/yahta-fairline-68,"наб. Мартынова, 92",https://drive.google.com/drive/folders/1N75ia_yX1PVkHB87vfCnTLNqVWs8DIII
Galeon 440 FLY,10,https://vipflot.com/yahty/yahta-galeon-440-fly,Южная дорога 4,https://drive.google.com/drive/folders/1aIvH02lKDPxWvHs4Nbs7PXZCnGrCm-0X
Galeon 640 ,12,https://vipflot.com/yahty/yahta-galeon-64,"Петровская коса, 9",https://disk.yandex.ru/d/EL4wXaEcngqefg
JOCORE А,10,https://vipflot.com/yahty/katamaran-jocore-a,"яхт-клуб Смоленка, Морской пассажирский порт
просп. Крузенштерна, 18, стр. 7",https://disk.yandex.ru/d/rgS7z2_JuTTiWw
Leopard 23,12,https://vipflot.com/yahty/yahta-leopard-23,Южная дорога 4к1,https://disk.yandex.ru/d/nas1WMaPeyruhw
Majesty 44,10,https://vipflot.com/yahty/yahta-majesty-44,Уральская 13У,https://disk.yandex.ru/d/DAy8vS2Rb_tUtA
Meridian 381,10,https://vipflot.com/yahty/yahta-meridian-381,Уральская 13,https://drive.google.com/drive/folders/1-50X5OYQ9uSWxAKzTu764bXTFngvZ1Z1
Princess 50 Leon,12,https://vipflot.com/yahty/yahta-princess-50,Южная дорога 4к1 ,https://disk.yandex.ru/d/O8__Y3o4FDyzfw
Princess 57 Esperanza,10,https://vipflot.com/yahty/yahta-princess-57,Южная дорога 4,https://disk.yandex.ru/d/U3JBSrH_5Y9fJg
Princess 58 Nord Star 62,12,https://vipflot.com/yahty/yahta-princess-58,Южная дорога 4к1 ,https://disk.yandex.ru/d/wg0bYI_QpcOZnA
Princess 68 Алина,16,https://vipflot.com/yahty/yahta-princess-68,Петровская коса 5,https://disk.yandex.ru/d/ybwTIoomK_CX0g
Rodman 44 Holiday,10,https://vipflot.com/yahty/yahta-rodman-44,"яхт-клуб ""Лопухи"", ул. Академика Павлова, 11А",https://disk.yandex.ru/a/HpU2SRduzpaXLg
